,FIRST,LAST,NICKNAME,HT,WT,REACH,STANCE,W,L,D,BELT
1069,Megumi,Fujii,Mega Megu,"5' 3""",113 lbs.,--,,26,3,0,
1070,Kazuyuki,Fujita,Ironhead,"6' 0""",235 lbs.,--,Orthodox,15,12,0,
1071,Keisuke,Fujiwara,,"5' 6""",139 lbs.,--,Switch,17,12,5,
1072,Riki,Fukuda,,"6' 0""",185 lbs.,"73.0""",Southpaw,24,9,0,
1073,Masio,Fullen,Lobo,"5' 10""",145 lbs.,"70.0""",Orthodox,11,7,0,
1074,Travis,Fulton,The Ironman,"6' 0""",240 lbs.,--,Orthodox,253,53,10,
1075,Sam,Fulton,,--,--,--,,0,2,0,
1076,Masakatsu,Funaki,,"6' 0""",185 lbs.,--,Southpaw,39,13,2,
1077,Ricardo,Funch,Golden Boy,"5' 10""",170 lbs.,"74.0""",Southpaw,9,6,0,
1078,Katsuaki,Furuki,,"6' 0""",168 lbs.,--,,1,1,0,
1079,James,Gabert,,--,178 lbs.,--,,6,4,0,
1080,Gustavo,Gabriel,,"5' 6""",125 lbs.,--,Orthodox,13,1,0,
1081,Claudia,Gadelha,Claudinha,"5' 4""",115 lbs.,"63.0""",Orthodox,18,5,0,
1082,Alavutdin,Gadjiev,,"6' 2""",185 lbs.,--,Orthodox,18,13,1,
1083,Justin,Gaethje,The Highlight,"5' 11""",155 lbs.,"70.0""",Orthodox,22,3,0,
1084,Sheila,Gaff,The German Tank,"5' 5""",135 lbs.,--,Orthodox,9,7,0,
1085,Muin,Gafurov,Tajik,"5' 7""",135 lbs.,"68.0""",Southpaw,17,4,0,
1086,Mitch,Gagnon,,"5' 5""",135 lbs.,"65.0""",Southpaw,12,5,0,
1087,Brandon,Gaines,,"6' 3""",185 lbs.,--,,5,21,0,
1088,Travis,Galbraith,The Gladiator,"6' 0""",170 lbs.,--,Orthodox,18,7,0,
1089,Dave,Galera,Scarecrow,"5' 11""",135 lbs.,--,Orthodox,5,1,0,
1090,Zelg,Galesic,Benkei,"6' 2""",185 lbs.,--,Orthodox,11,9,0,
1091,Mickey,Gall,,"6' 2""",170 lbs.,"74.0""",Switch,7,3,0,
1092,Daniel,Gallemore,Big Kansas,"6' 5""",265 lbs.,--,,7,3,0,
1093,Tom,Gallicchio,Da Tank,"5' 10""",170 lbs.,--,Southpaw,19,10,0,
1094,Turrell,Galloway,,"5' 3""",145 lbs.,--,,8,6,0,
1095,Eric,Galvan,,--,155 lbs.,--,,0,0,0,
1096,Andre,Galvao,,"5' 7""",168 lbs.,--,Orthodox,5,2,0,
1097,Marcos,Galvao,Loro,"5' 7""",135 lbs.,--,Orthodox,18,8,1,
1098,Lucas,Gamaza,,--,170 lbs.,--,,8,4,0,
1099,Joey,Gambino,The Raging Warrior,"5' 7""",145 lbs.,--,Orthodox,9,2,0,
1100,Manvel,Gamburyan,The Anvil,"5' 5""",135 lbs.,"67.0""",Orthodox,15,10,0,
1101,Mateusz,Gamrot,Gamer,"5' 10""",155 lbs.,"70.0""",Southpaw,19,1,0,
1102,Shamil,Gamzatov,,"6' 2""",205 lbs.,"76.0""",Orthodox,14,0,0,
1103,Ariel,Gandulla,,"5' 11""",205 lbs.,--,Orthodox,7,9,0,
1104,Ciryl,Gane,Bon Gamin,"6' 4""",245 lbs.,"81.0""",Orthodox,10,0,0,
1105,Sean,Gannon,The Cannon,"6' 3""",265 lbs.,--,Southpaw,2,1,0,
1106,Eduardo,Garagorri,,"5' 9""",145 lbs.,"70.0""",Orthodox,13,2,0,
1107,Cody,Garbrandt,No Love,"5' 8""",135 lbs.,"65.0""",Orthodox,12,4,0,
1108,Leonard,Garcia,Bad Boy,"5' 10""",145 lbs.,"68.0""",Orthodox,18,13,1,
1109,Edgar,Garcia,,"5' 10""",170 lbs.,"71.0""",Orthodox,14,5,0,
1110,Alejandro,Garcia,Alex,"5' 7""",145 lbs.,--,,14,10,0,
1111,Alex,Garcia,The Dominican Nightmare,"5' 9""",170 lbs.,"72.0""",Orthodox,15,6,0,
1112,Nick,Garcia,Nitro,"5' 4""",125 lbs.,--,,8,3,0,
1113,Steve,Garcia,Mean Machine,"6' 0""",155 lbs.,"75.0""",Southpaw,12,4,0,
1114,Elias,Garcia,,"5' 5""",125 lbs.,"67.0""",Southpaw,6,2,0,
1115,Rafa,Garcia,Gifted,"5' 7""",155 lbs.,"70.0""",Orthodox,12,2,0,
1116,Fernie,Garcia,,"5' 7""",135 lbs.,"67.0""",Orthodox,10,1,0,
1117,Rulon,Gardner,,"6' 3""",265 lbs.,--,Orthodox,1,0,0,
1118,David,Gardner,,"5' 11""",155 lbs.,--,Orthodox,18,21,0,
1119,Ian,Garry,The Future,"6' 3""",170 lbs.,--,,7,0,0,
1120,Pablo,Garza,The Scarecrow,"6' 1""",145 lbs.,"73.0""",Orthodox,12,4,0,
1121,Azamat,Gashimov,,"5' 6""",125 lbs.,--,Orthodox,8,3,0,
1122,Brian,Gassaway,,"6' 1""",170 lbs.,--,Orthodox,29,20,2,
1123,Kelvin,Gastelum,,"5' 9""",185 lbs.,"71.0""",Southpaw,17,8,0,
1124,Willie,Gates,,"5' 8""",125 lbs.,"72.0""",Orthodox,12,7,0,
1125,Melissa,Gatto,,"5' 5""",125 lbs.,"69.0""",Orthodox,7,0,2,
1126,Louis,Gaudinot,Goodnight,"5' 3""",125 lbs.,"63.0""",Orthodox,8,4,0,
1127,Manuel,Gaxhja,,"5' 8""",155 lbs.,--,Switch,7,0,0,
1128,Charlene,Gellner,Princess,"5' 2""",125 lbs.,--,,0,4,0,
1129,Chad,George,Savage,"5' 6""",135 lbs.,"68.0""",Southpaw,16,8,0,
1130,Paul,Georgieff,,"6' 2""",170 lbs.,--,Orthodox,6,2,0,
1131,Brian,Geraghty,Duke,"5' 7""",155 lbs.,--,Orthodox,26,18,1,
1132,Derek,Getzel,The Pretzel,"6' 0""",155 lbs.,--,,8,5,0,
1133,Karine,Gevorgyan,The Princess,"5' 4""",125 lbs.,"63.0""",,3,3,0,
1134,Darrel,Gholar,,"5' 8""",194 lbs.,--,Orthodox,5,6,0,
1135,Tiki,Ghosn,,"5' 10""",170 lbs.,--,Orthodox,10,7,1,
1136,Christos,Giagos,The Spartan,"5' 10""",155 lbs.,"71.0""",Orthodox,19,9,0,
1137,Joe,Giannetti,,"6' 0""",155 lbs.,"74.0""",Southpaw,6,1,0,
1138,Nick,Gibbons,,"5' 10""",155 lbs.,--,,2,1,0,
1139,James,Giboo,,"5' 11""",170 lbs.,--,Orthodox,13,5,0,
1140,Lance,Gibson,Fearless,"5' 9""",185 lbs.,--,Orthodox,4,5,0,
1141,Lee,Gibson,Lethal,"5' 7""",155 lbs.,--,,12,4,0,
1142,Cody,Gibson,The Renegade,"5' 10""",135 lbs.,"71.0""",Orthodox,15,7,0,
1143,Chase,Gibson,El Guero,"5' 10""",155 lbs.,"72.0""",Orthodox,9,5,0,
1144,Kenny,Giddens,,"5' 11""",155 lbs.,--,,12,7,0,
1145,Thomas,Gifford,The Young Lion,"6' 1""",155 lbs.,"75.0""",Orthodox,14,9,0,
1146,Joseph,Gigliotti,Capo,"5' 11""",185 lbs.,--,Orthodox,7,2,0,
1147,Joey,Gilbert,,"5' 11""",155 lbs.,--,Orthodox,2,3,0,
1148,Trevin,Giles,,"6' 0""",185 lbs.,"74.0""",Orthodox,14,3,0,
1149,Kultar,Gill,Black Mamba,"6' 0""",154 lbs.,--,Orthodox,12,8,0,
1150,Jesse,Gillespie,,--,185 lbs.,--,,3,2,0,
1151,Gregor,Gillespie,The Gift,"5' 7""",155 lbs.,"71.0""",Orthodox,14,1,0,
1152,Jason,Gilliam,,"6' 0""",170 lbs.,--,Orthodox,14,9,0,
1153,Micheal,Gillmore,The Gentleman,"5' 11""",185 lbs.,"72.0""",Orthodox,6,4,0,
1154,Krishaun,Gilmore,,--,--,--,,0,1,0,
1155,Alex,Gilpin,,"5' 7""",145 lbs.,--,Orthodox,11,1,0,
1156,Bob,Gilstrap,,"6' 3""",200 lbs.,--,Orthodox,5,7,0,
1157,Demetrius,Gioulacos,,"5' 11""",185 lbs.,--,,0,1,0,
1158,Billy,Giovanella,Wolverine,"5' 8""",125 lbs.,--,,9,5,0,
1159,He-Man,Gipson,,--,--,--,,1,2,0,
1160,Israel,Giron,El Rojo,"5' 8""",155 lbs.,--,,19,5,0,
1161,Brandon,Girtz,Cold Roll,"5' 7""",155 lbs.,--,,14,7,0,
1162,Jason,Glaza,,"6' 0""",230 lbs.,--,,3,2,0,
1163,Mike,Glenn,,--,205 lbs.,--,,5,6,0,
1164,Ricky,Glenn,The Gladiator,"6' 0""",145 lbs.,"70.0""",Southpaw,22,6,1,
1165,Mark,Godbeer,The Hand Of,"6' 4""",240 lbs.,"77.0""",Orthodox,13,4,0,
1166,Clint,Godfrey,,"5' 6""",135 lbs.,--,Southpaw,13,3,0,
1167,Loopy,Godinez,,"5' 2""",115 lbs.,"61.0""",Orthodox,5,1,0,
1168,Jason,Godsey,,"6' 2""",230 lbs.,--,Orthodox,16,16,0,
1169,Allan,Goes,,"6' 0""",205 lbs.,--,Orthodox,10,5,2,
1170,Jonny,Goh,,"5' 11""",155 lbs.,--,,3,4,0,
1171,Hannah,Goldy,24K,"5' 4""",125 lbs.,"61.0""",Orthodox,6,2,0,
1172,Marcelo,Golm,,"6' 3""",249 lbs.,"75.0""",Orthodox,6,3,0,
1173,Sergio,Gomez,,"5' 6""",155 lbs.,--,Orthodox,10,3,0,
1174,Frank,Gomez,,"5' 10""",135 lbs.,"67.0""",Orthodox,10,6,0,
1175,Alan,Gomez,,--,155 lbs.,--,,2,0,0,
1176,David,Gomez,,--,155 lbs.,--,,1,2,0,
1177,Ulysses,Gomez,Useless,"5' 6""",125 lbs.,--,Orthodox,9,5,0,
1178,Joey,Gomez,KO King,"5' 10""",135 lbs.,"73.0""",Orthodox,6,2,0,
1179,Luis,Gomez,Tiger Junior,"5' 7""",145 lbs.,"68.0""",Orthodox,4,1,0,
1180,Joey,Gomez,,"5' 10""",155 lbs.,"71.0""",Orthodox,7,1,0,
1181,Edson,Gomez,,"5' 8""",170 lbs.,"69.0""",Switch,6,2,0,
1182,Silvana,Gomez Juarez,La Malvada,"5' 3""",115 lbs.,"65.0""",Orthodox,10,2,0,
1183,Takanori,Gomi,The Fireball Kid,"5' 7""",155 lbs.,"70.0""",Southpaw,35,14,0,
1184,Akihiro,Gono,,"5' 7""",170 lbs.,"68.0""",Switch,35,21,8,
1185,Gabriel,Gonzaga,Napao,"6' 2""",242 lbs.,"76.0""",Orthodox,17,11,0,
1186,Justin,Gonzales,J-Train,"5' 9""",145 lbs.,"72.0""",Orthodox,6,0,0,
1187,Fernando,Gonzalez,The Menifee Maniac,"5' 9""",170 lbs.,"68.0""",Southpaw,26,14,0,
1188,Nick,Gonzalez,The Ghost,"5' 6""",155 lbs.,--,Orthodox,17,12,0,
1189,Fabian,Gonzalez,,"5' 10""",135 lbs.,--,,2,1,0,
1190,Lewis,Gonzalez,Lethal,"5' 10""",170 lbs.,--,Orthodox,11,3,0,
1191,Jason,Gonzalez,Nicoya,"6' 2""",155 lbs.,"74.0""",Southpaw,11,5,0,
1192,Pearl,Gonzalez,,"5' 4""",115 lbs.,--,Orthodox,6,3,0,
1193,Jorge,Gonzalez,Street,"6' 2""",205 lbs.,"76.0""",Orthodox,16,4,0,
1194,Mikey,Gonzalez,Rolls,"5' 11""",155 lbs.,"74.0""",Orthodox,7,2,0,
1195,Erick,Gonzalez,,"5' 11""",155 lbs.,"74.0""",Orthodox,14,5,0,
1196,Kier,Gooch,,--,155 lbs.,--,,2,7,0,
1197,Lyman,Good,Cyborg,"6' 0""",170 lbs.,"74.0""",Orthodox,21,6,0,
1198,Jared,Gooden,NiteTrain,"6' 0""",170 lbs.,"77.0""",Orthodox,18,6,0,
1199,Gary,Goodridge,Big Daddy,"6' 3""",249 lbs.,--,Orthodox,23,22,1,
1200,Jordan,Goodwin,,--,155 lbs.,--,,0,0,0,
1201,Gerard,Gordeau,,"6' 5""",216 lbs.,--,Orthodox,2,2,0,
1202,Eddie,Gordon,Truck,"6' 0""",185 lbs.,"76.0""",Orthodox,8,4,0,
1203,Jared,Gordon,Flash,"5' 9""",145 lbs.,"68.0""",Orthodox,18,4,0,
1204,Tebaris,Gordon,Boom,"6' 1""",265 lbs.,--,Orthodox,3,1,0,
1205,Malcolm,Gordon,X,"5' 7""",125 lbs.,"71.0""",Switch,13,5,0,
1206,Tresean,Gore,Mr. Vicious,"6' 0""",185 lbs.,--,,3,0,0,
1207,Alex,Gorgees,Hitman,"6' 2""",155 lbs.,"74.0""",Switch,6,1,0,
1208,Tim,Gorman,The Psycho,"5' 5""",135 lbs.,--,Southpaw,9,4,0,
1209,Chase,Gormley,,"6' 3""",265 lbs.,--,Orthodox,14,6,0,
1210,Jonathan,Goulet,The Road Warrior,"6' 0""",170 lbs.,"73.0""",Orthodox,23,12,0,
1211,Thibault,Gouti,GT,"5' 10""",155 lbs.,"72.0""",Orthodox,12,5,0,
1212,Wilson,Gouveia,,"6' 1""",185 lbs.,"76.0""",Orthodox,14,8,0,
1213,Todd,Gouwenberg,,"6' 1""",205 lbs.,--,Orthodox,9,5,0,
1214,Hugo,Govea,,--,--,--,,0,1,0,
1215,Justin,Governale,The Therapist,--,145 lbs.,--,,5,5,0,
1216,Damian,Grabowski,The Polish Pitbull,"6' 1""",241 lbs.,"75.0""",Orthodox,20,5,0,
1217,Royce,Gracie,,"6' 1""",175 lbs.,--,Southpaw,15,2,3,
1218,Crosley,Gracie,,"5' 9""",190 lbs.,--,Orthodox,2,2,0,
1219,Daniel,Gracie,,"6' 2""",225 lbs.,--,Orthodox,5,4,1,
1220,Ralph,Gracie,,"5' 9""",183 lbs.,--,Orthodox,6,1,0,
1221,Renzo,Gracie,,"5' 10""",185 lbs.,--,Orthodox,13,7,1,
1222,Rickson,Gracie,,"5' 10""",185 lbs.,--,Switch,11,0,0,
1223,Rodrigo,Gracie,,"6' 0""",183 lbs.,--,Orthodox,6,2,1,
1224,Royler,Gracie,,"5' 8""",150 lbs.,--,Southpaw,5,5,1,
1225,Ryan,Gracie,,"5' 9""",200 lbs.,--,Orthodox,5,2,0,
1226,Ralek,Gracie,,"6' 2""",210 lbs.,--,Orthodox,3,1,0,
1227,Rolles,Gracie,,"6' 4""",242 lbs.,--,Orthodox,8,4,0,
1228,Cesar,Gracie,,"5' 10""",181 lbs.,--,Orthodox,0,1,0,
1229,Roger,Gracie,,"6' 4""",185 lbs.,"79.0""",Orthodox,8,2,0,
1230,Igor,Gracie,,"5' 11""",170 lbs.,--,,5,4,0,
1231,Neiman,Gracie,,"6' 0""",170 lbs.,--,,6,0,0,
1232,Kron,Gracie,,"5' 9""",145 lbs.,"70.0""",Southpaw,5,1,0,
1233,Steven,Graham,,"6' 1""",290 lbs.,--,Orthodox,2,1,0,
1234,Scott,Graham,,"6' 4""",185 lbs.,--,Orthodox,3,1,0,
1235,Miranda,Granger,Danger,"5' 7""",125 lbs.,"68.0""",Orthodox,7,2,0,
1236,TJ,Grant,,"5' 10""",155 lbs.,"72.0""",Orthodox,21,5,0,
1237,Davey,Grant,Dangerous,"5' 8""",135 lbs.,"69.0""",Orthodox,13,5,0,
1238,Dwight,Grant,The Body Snatcher,"6' 1""",170 lbs.,"76.0""",Switch,11,3,0,
1239,Alexa,Grasso,,"5' 5""",125 lbs.,"66.0""",Orthodox,13,3,0,
1240,Tony,Gravely,,"5' 5""",135 lbs.,"69.0""",Orthodox,21,7,0,
1241,Michael,Graves,,"5' 10""",170 lbs.,"71.0""",Orthodox,6,0,1,
1242,Shelton,Graves,The Gravedigger,"6' 2""",255 lbs.,"76.0""",Southpaw,7,3,0,
1243,James,Gray,The Phenom,"5' 9""",135 lbs.,--,Orthodox,4,1,0,
1244,Kevin,Gray,Pocket Herc,"5' 4""",125 lbs.,"67.0""",Orthodox,9,4,0,
1245,Sam,Greco,,"6' 2""",205 lbs.,--,Orthodox,3,1,1,
1246,Bobby,Green,King,"5' 10""",155 lbs.,"71.0""",Orthodox,27,12,1,
1247,Desmond,Green,The Predator,"5' 10""",155 lbs.,"73.0""",Southpaw,23,8,0,
1248,Gabe,Green,Gifted,"5' 10""",170 lbs.,"73.0""",Switch,10,3,0,
1249,Maurice,Greene,The Crochet Boss,"6' 7""",258 lbs.,"80.0""",Orthodox,9,7,0,
1250,Matt,Grice,The Real One,"5' 8""",145 lbs.,"70.0""",Orthodox,15,5,0,
1251,Forrest,Griffin,,"6' 3""",205 lbs.,"77.0""",Orthodox,19,7,0,
1252,Tyson,Griffin,,"5' 6""",145 lbs.,"68.0""",Orthodox,16,8,0,
1253,Max,Griffin,Pain,"5' 11""",170 lbs.,"76.0""",Orthodox,18,8,0,
1254,Jordan,Griffin,Native Psycho,"5' 10""",145 lbs.,"73.0""",Southpaw,18,9,0,
1255,Chad,Griggs,The Grave Digger,"6' 1""",205 lbs.,"73.0""",Orthodox,11,3,0,
1256,Chuck,Grigsby,The Reverend,"6' 6""",205 lbs.,--,Orthodox,23,10,0,
1257,Rodrigo,Gripp de Sousa,Riscado,"5' 11""",205 lbs.,--,Orthodox,7,9,0,
1258,Maxim,Grishin,Maximus,"6' 3""",220 lbs.,"78.0""",Orthodox,31,9,2,
1259,Josh,Grispi,The Fluke,"5' 11""",145 lbs.,"74.0""",Orthodox,14,5,0,
1260,Garrett,Gross,,"5' 9""",155 lbs.,--,Orthodox,11,7,0,
1261,Kendall,Grove,Da Spyder,"6' 6""",185 lbs.,"79.0""",Orthodox,23,17,0,
1262,Neil,Grove,Goliath,"6' 6""",265 lbs.,--,Orthodox,12,8,1,
1263,Chris,Gruetzemacher,Gritz,"5' 8""",155 lbs.,"68.0""",Orthodox,15,4,0,
1264,Vik,Grujic,The Spartan,"5' 11""",170 lbs.,"73.0""",Orthodox,6,6,0,
1265,Mike,Grundy,,"5' 7""",145 lbs.,"72.0""",Orthodox,12,3,0,
1266,Wang,Guan,The Dongbei Tiger,"5' 9""",145 lbs.,"71.0""",Orthodox,20,1,1,
1267,Nandor,Guelmino,The Hun,"6' 3""",230 lbs.,--,,11,5,1,
1268,Fabricio,Guerreiro,,"5' 10""",145 lbs.,--,,21,5,0,
1269,Shannon,Gugerty,,"5' 10""",155 lbs.,"71.0""",Orthodox,15,7,0,
1270,Clay,Guida,The Carpenter,"5' 7""",155 lbs.,"70.0""",Orthodox,36,18,0,
1271,Jason,Guida,,"5' 10""",214 lbs.,--,,19,28,0,
1272,Melvin,Guillard,The Young Assassin,"5' 9""",155 lbs.,"71.0""",Orthodox,32,18,2,
1273,Chris,Guillen,,"6' 0""",240 lbs.,--,Orthodox,13,16,0,
1274,Marcelo,Guimaraes,Magrao,"6' 0""",185 lbs.,"73.0""",Orthodox,9,2,1,
1275,Leonardo,Guimaraes,Leleco,"6' 0""",185 lbs.,--,Orthodox,11,5,0,
1276,Brad,Gumm,,"5' 11""",170 lbs.,--,Orthodox,10,6,1,
1277,John,Gunderson,Quick Guns,"5' 9""",155 lbs.,"69.0""",Orthodox,35,16,2,
1278,John,Gunther,The Machine,"5' 9""",155 lbs.,"72.0""",Orthodox,5,1,0,
1279,Jorge,Gurgel,,"5' 7""",155 lbs.,"69.0""",Orthodox,14,10,0,
1280,Fabio,Gurgel,,"6' 0""",205 lbs.,--,Orthodox,3,2,0,
1281,Andre,Gusmao,,"6' 0""",205 lbs.,--,Orthodox,6,3,0,
1282,Alexander,Gustafsson,The Mauler,"6' 5""",205 lbs.,"79.0""",Orthodox,18,7,0,
1283,Justin,Guthrie,,"6' 1""",170 lbs.,--,,18,9,0,
1284,Horacio,Gutierrez,The Punisher,"5' 10""",145 lbs.,--,,4,3,0,
1285,Chris,Gutierrez,El Guapo,"5' 9""",145 lbs.,"67.0""",Orthodox,16,3,2,
1286,Mike,Guymon,The Joker,"6' 0""",170 lbs.,"74.0""",Orthodox,15,6,1,
1287,Chelsea,Hackett,Hammer,"5' 4""",125 lbs.,"66.0""",Switch,3,1,1,
1288,Keith,Hackney,The Giant Killer,"5' 11""",200 lbs.,--,Sideways,2,2,0,
1289,Jake,Hadley,White Kong,"5' 7""",125 lbs.,--,Southpaw,7,0,0,
1290,Steve,Hadsel,,"5' 8""",170 lbs.,--,,3,0,0,
1291,Damir,Hadzovic,The Bosnian Bomber,"5' 9""",155 lbs.,"70.0""",Orthodox,14,6,0,
1292,Tim,Hague,The Trashing Machine,"6' 4""",260 lbs.,"76.0""",Orthodox,21,13,0,
1293,Yazan,Hajeh,Yazzle Dazzle,"5' 9""",145 lbs.,--,Orthodox,6,1,0,
1294,Stoney,Hale,The Skuller,"6' 0""",--,--,,5,3,0,
1295,Kevin,Haley,The North Woods Nightmare,"6' 2""",205 lbs.,--,,6,4,0,
1296,Mark,Hall,,"6' 0""",190 lbs.,--,Orthodox,5,6,0,
1297,Uriah,Hall,Prime Time,"6' 0""",185 lbs.,"79.0""",Orthodox,18,10,0,
1298,Ryan,Hall,The Wizard,"5' 10""",145 lbs.,"70.0""",Southpaw,8,2,0,
1299,Dennis,Hallman,Superman,"5' 9""",155 lbs.,"72.0""",Orthodox,53,20,2,
1300,Piotr,Hallmann,Pletwal,"5' 9""",155 lbs.,"71.0""",Orthodox,18,6,0,
1301,Tony,Halme,,"6' 3""",300 lbs.,--,Orthodox,0,4,0,
1302,Brandon,Halsey,Bull,"6' 0""",185 lbs.,--,,9,3,0,
1303,John,Halverson,The Hurricane,"5' 9""",155 lbs.,--,Southpaw,16,8,0,
1304,Seo Hee,Ham,,"5' 2""",115 lbs.,"62.0""",Southpaw,17,8,0,
1305,Frank,Hamaker,,--,--,--,,1,0,0,
1306,Kazuhiro,Hamanaka,,"6' 0""",185 lbs.,--,Southpaw,5,7,1,
1307,Matt,Hamill,The Hammer,"6' 1""",205 lbs.,"76.0""",Orthodox,12,8,0,
1308,Jeremy,Hamilton,Hawk,--,185 lbs.,--,,9,2,0,
1309,Anthony,Hamilton,Freight Train,"6' 5""",260 lbs.,"76.0""",Orthodox,15,9,0,
1310,CJ,Hamilton,The Autobot,"5' 7""",125 lbs.,"68.0""",Switch,11,4,0,
1311,Jared,Hamman,The Messenger,"6' 3""",185 lbs.,"75.0""",Orthodox,14,6,0,
1312,James,Hammortree,The Sledge,"6' 3""",185 lbs.,--,Orthodox,6,3,0,
1313,Dean,Hancock,The Hammer,--,155 lbs.,--,,2,1,0,
1314,Joachim,Hansen,Hellboy,"5' 7""",150 lbs.,--,Southpaw,23,14,1,
1315,Kay,Hansen,,"5' 2""",115 lbs.,"63.0""",Orthodox,7,4,0,
1316,Nasrat,Haqparast,,"5' 10""",155 lbs.,"72.0""",Southpaw,13,4,0,
1317,Janay,Harding,Hollowpoint,--,135 lbs.,--,,2,3,0,
1318,Antoni,Hardonk,,"6' 4""",245 lbs.,"78.0""",Orthodox,8,6,0,
1319,Dan,Hardy,The Outlaw,"6' 0""",170 lbs.,"74.0""",Orthodox,25,10,0,
1320,Greg,Hardy,Prince of War,"6' 5""",265 lbs.,"80.0""",Orthodox,7,4,0,
1321,Baru,Harn,Seiryu,--,265 lbs.,--,,1,2,0,
1322,Scott,Harper,,"6' 0""",185 lbs.,--,Orthodox,12,7,0,
1323,Gerry,Harris,,"6' 8""",270 lbs.,--,Orthodox,1,4,0,
1324,Gerald,Harris,,"5' 11""",185 lbs.,"77.0""",Southpaw,23,5,0,
1325,Phil,Harris,Billy,"5' 4""",125 lbs.,"65.0""",Orthodox,22,12,0,
1326,Walt,Harris,The Big Ticket,"6' 5""",250 lbs.,"77.0""",Southpaw,13,10,0,
1327,Dhafir,Harris,Dada 5000,--,257 lbs.,--,,2,0,0,
1328,Trevor,Harris,,"5' 6""",145 lbs.,--,,2,2,0,
1329,Carlston,Harris,Mocambique,"6' 0""",170 lbs.,"76.0""",Orthodox,17,4,0,
1330,Collin,Hart,,"6' 1""",185 lbs.,--,Orthodox,6,3,1,
1331,Dale,Hartt,,"5' 10""",155 lbs.,"69.0""",Orthodox,6,3,0,
1332,Luke,Hartwig,,--,--,--,,0,1,0,
1333,Clay,Harvison,Bushwacker,"6' 1""",170 lbs.,"74.0""",Orthodox,13,6,0,
1334,Hidehiko,Hasegawa,,"5' 9""",170 lbs.,--,,19,20,6,
1335,Chris,Haseman,The Hammer,"5' 11""",205 lbs.,--,Orthodox,20,17,0,
1336,Takayo,Hashi,,"5' 4""",135 lbs.,--,Orthodox,15,6,1,
1337,Tomohiko,Hashimoto,,"6' 0""",250 lbs.,--,Orthodox,1,4,0,
1338,Justin,Haskins,,"5' 10""",170 lbs.,--,Orthodox,7,6,0,
1339,Hayder,Hassan,Hulk,"5' 10""",170 lbs.,--,,6,3,0,
1340,Daiki,Hata,DJ Taiki,"5' 6""",139 lbs.,--,Orthodox,17,11,7,
1341,John,Hathaway,The Hitman,"6' 1""",170 lbs.,"75.0""",Orthodox,17,2,0,
1342,Phil,Hawes,Megatron,"6' 0""",185 lbs.,"77.0""",Orthodox,11,2,0,
1343,Justin,Hawes,The Hawk,"5' 11""",205 lbs.,--,,6,9,0,
1344,Chris,Hawk,,"6' 1""",205 lbs.,--,,5,10,0,
1345,Del,Hawkins,The Filipino Delight,"5' 5""",135 lbs.,--,Orthodox,22,17,0,
1346,Tommy,Hayden,Wild Card,"5' 9""",145 lbs.,--,Southpaw,11,3,0,
1347,Mike,Hayes,,"6' 4""",230 lbs.,--,Orthodox,20,12,2,
1348,Ryan,Hayes,,--,--,--,,7,6,0,
1349,Gerric,Hayes,,"5' 10""",--,--,,8,11,0,
1350,Josh,Haynes,Bring the Pain,"5' 9""",170 lbs.,--,Orthodox,14,11,0,
1351,Dustin,Hazelett,McLovin,"6' 1""",170 lbs.,"76.0""",Orthodox,12,7,0,
1352,James,Head,,"6' 1""",170 lbs.,"73.0""",Orthodox,9,4,0,
1353,Pat,Healy,Bam Bam,"6' 0""",155 lbs.,"72.0""",Orthodox,34,23,0,
1354,Ryan,Healy,The Irish Assassin,"6' 1""",155 lbs.,--,Orthodox,25,14,1,
1355,Spencer,Hearns,,"5' 11""",185 lbs.,--,,1,0,0,
1356,David,Heath,,"5' 11""",205 lbs.,"72.0""",Orthodox,18,7,0,
1357,Chris,Heatherly,Stump,"5' 9""",155 lbs.,--,Orthodox,9,4,0,
1358,Jake,Hecht,Hitman,"6' 0""",170 lbs.,"73.0""",Orthodox,11,4,0,
1359,Nick,Hein,Sergeant,"5' 6""",155 lbs.,"66.0""",Southpaw,14,5,0,
1360,Ian,Heinisch,The Hurricane,"5' 11""",185 lbs.,"72.0""",Orthodox,14,5,0,
1361,Marcin,Held,,"5' 9""",155 lbs.,"71.0""",Orthodox,23,7,0,
1362,Delson,Heleno,Pe De Chumbo,"5' 11""",185 lbs.,--,Orthodox,29,10,0,
1363,Matt,Helm,,--,155 lbs.,--,,1,1,0,
1364,Elisha,Helsper,Knuckles,"5' 6""",135 lbs.,--,Orthodox,0,4,0,
1365,Dan,Henderson,Hendo,"5' 11""",185 lbs.,"74.0""",Orthodox,32,15,0,
1366,Benson,Henderson,Smooth,"5' 9""",170 lbs.,"70.0""",Southpaw,24,7,0,
1367,Ron,Henderson,,"5' 10""",125 lbs.,--,,4,3,0,
1368,Josh,Hendricks,,"6' 2""",235 lbs.,--,Southpaw,19,11,0,
1369,Johny,Hendricks,Bigg Rigg,"5' 9""",185 lbs.,"69.0""",Southpaw,18,8,0,
1370,Cory,Hendricks,,"6' 3""",205 lbs.,--,,3,1,0,
1371,Luis,Henrique,KLB,"6' 2""",243 lbs.,"74.0""",Orthodox,10,5,0,
1372,Diego,Henrique da Silva,Gaucho,"6' 2""",185 lbs.,--,Orthodox,8,4,0,
